module.code,element.title,module.leader,element.first.markers,element.second.markers,deadline.2016,deadline,deadline.ec,return.internal,return.hard,return.ec,days.change.from.2016
PSY555,Grant,Tim Hollins,Tim Hollins,Ben Whalley,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY555,Poster,Tim Hollins,Tim Hollins,Ben Whalley,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY555,Presentation,Tim Hollins,Tim Hollins,Ben Whalley,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY555,Writing task,Tim Hollins,Tim Hollins,Ben Whalley,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY556,Statistics assignment part 1,William Simpson,William Simpson,Chris Harris,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY556,Statistics assignment part 2,William Simpson,William Simpson,Chris Harris,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY557,Statistics assignment part 1,Ben Whalley,Ben Whalley,Jon May,2017-05-04T00:00:00Z,2018-05-03,2018-05-14,2018-05-24,2018-05-31,2018-06-11,-1
PSY557,Statistics assignment part 2,Ben Whalley,Ben Whalley,Jon May,2017-05-04T00:00:00Z,2018-05-03,2018-05-14,2018-05-24,2018-05-31,2018-06-11,-1
PSY558,Assignment part 1,Ben Whalley,Ben Whalley,Jon May,2017-03-30T00:00:00Z,2018-04-19,2018-04-30,2018-05-10,2018-05-17,2018-05-29,20
PSY558,Assignment part 2,Ben Whalley,Ben Whalley,Jon May,2017-03-30T00:00:00Z,2018-04-19,2018-04-30,2018-05-10,2018-05-17,2018-05-29,20
PSY559,Coursework assignment,Chris Harris,Chris Harris,Chris Berry,2016-11-17T00:00:00Z,2017-11-16,2017-11-27,2017-12-07,2017-12-14,2018-01-02,-1
PSY560,Coursework assignment,Tim Auburn,Tim Auburn,Sylvia Terbeck,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY561,Session 1 coursework (Haline Schendan and Stephen Hall),Jeremy Goslin,Haline Schenden/Stephen Hall,Jeremy Goslin,2016-11-24T00:00:00Z,2017-11-23,2017-12-04,2017-12-14,2017-12-21,2018-01-02,-1
PSY561,Session 2 coursework (Jeremy Goslin and Chris Mitchell),Jeremy Goslin,Jeremy Goslin/Chris Mitchell,Haline Schendan,2016-11-24T00:00:00Z,2017-11-23,2017-12-04,2017-12-14,2017-12-21,2018-01-02,-1
PSY562,Session 1 coursework (Michaela Gummerum and Giorgio Ganis),Jeremy Goslin,Michaela Gummerum/Sue Denham,Chris Mitchell,2017-05-11T00:00:00Z,2018-05-10,2018-05-21,2018-05-31,2018-06-07,2018-06-18,-1
PSY562,Session 2 coursework (Sylvia Terbeck and Sabine Pahl),Jeremy Goslin,Giorgio Ganis/Chris Mitchell,Michaela Gummerum,2017-05-11T00:00:00Z,2018-05-10,2018-05-21,2018-05-31,2018-06-07,2018-06-18,-1
PSY563,Class participation,Yaniv Hanoch,Yaniv Hanoch,Jeremy Goslin,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY563,Class presentation (Last meeting),Yaniv Hanoch,Yaniv Hanoch,Jeremy Goslin,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY563,Final assignment,Yaniv Hanoch,Yaniv Hanoch,Jeremy Goslin,2017-01-19T00:00:00Z,2018-01-18,2018-01-29,2018-02-08,2018-02-15,2018-02-26,-1
PSY564,Coursework,TBC,TBC,TBC,2017-03-23T00:00:00Z,2018-03-22,2018-04-17,2018-04-12,2018-04-19,2018-05-15,-1
PSY566,Coursework,Jackie Andrade,Jackie Andrade,Ben Whalley,2017-03-30T00:00:00Z,2018-04-19,2018-04-30,2018-05-10,2018-05-17,2018-05-29,20
PSY567,Individual Behaviour Change,Jon May,Jon May,Judy Edworthy,2016-12-01T00:00:00Z,2017-11-30,2017-12-11,2017-12-21,2018-01-02,2018-01-08,-1
PSY567,Population Behaviour Change,Jon May,Jon May,Judy Edworthy,2016-12-01T00:00:00Z,2017-11-30,2017-12-11,2017-12-21,2018-01-02,2018-01-08,-1
PSY568,Coursework,TBC,TBC,TBC,2017-01-26T00:00:00Z,2018-01-25,2018-02-05,2018-02-15,2018-02-22,2018-03-05,-1
PSY569,Coursework,Christopher Harris,Christopher Harris,Stephen Hall,2017-01-26T00:00:00Z,2018-01-25,2018-02-05,2018-02-15,2018-02-22,2018-03-05,-1
PSY570,Coursework,Haline Schenden,Haline Schenden,Giorgio Ganis,2017-03-23T00:00:00Z,2018-03-22,2018-04-17,2018-04-12,2018-04-19,2018-05-15,-1
PSY571,Poster,Ben Whalley,Supervisors,Supervisors (round robin),2017-04-27T00:00:00Z,2018-05-17,2018-05-29,2018-06-07,2018-06-14,2018-06-26,20
PSY571,Protocol,Ben Whalley,Supervisors,Supervisors (round robin),2017-05-11T00:00:00Z,2018-04-19,2018-04-30,2018-05-10,2018-05-17,2018-05-29,-22
PSY572,Ethics,Alison Bacon,Alison Bacon,NA,2017-08-24T00:00:00Z,2018-08-23,2018-09-03,2018-09-13,2018-09-20,2018-10-01,-1
PSY572,Project,Alison Bacon,Supervisors,Supervisors (round robin),2017-08-24T00:00:00Z,2018-08-23,2018-09-03,2018-09-13,2018-09-20,2018-10-01,-1
PSY575,Pathway specific assignment,Chris Harris,"CH,BW,CD",Ben Whalley; Alyson Norman,2017-04-27T00:00:00Z,2018-04-26,2018-05-08,2018-05-17,2018-05-24,2018-06-05,-1
PSY576,Project,Chris Harris,Supervisors,Chris Harris; Ben Whalley; Alyson Norman,2017-05-18T00:00:00Z,2018-05-17,2018-05-29,2018-06-07,2018-06-14,2018-06-26,-1
PSY577,Coursework,TBC,TBC,TBC,2017-03-23T00:00:00Z,2018-03-22,2018-04-17,2018-04-12,2018-04-19,2018-05-15,-1
