"","module.code","assignment","module.leader","deadline","deadline.self.cert.ec","deadline.ec","return"
"1","PSY559","Coursework assignment","Chris Harris","Thu 15 November 2018","Tue 20 November 2018","Mon 26 November 2018","Thu 13 December 2018"
"2","PSY561","Session 1 coursework (Haline Schendan and Stephen Hall)","Jeremy Goslin","Thu 22 November 2018","Tue 27 November 2018","Mon 03 December 2018","Thu 20 December 2018"
"3","PSY561","Session 2 coursework (Jeremy Goslin and Chris Mitchell)","Jeremy Goslin","Thu 22 November 2018","Tue 27 November 2018","Mon 03 December 2018","Thu 20 December 2018"
"4","PSY567","Individual Behaviour Change","Jon May","Thu 29 November 2018","Tue 04 December 2018","Mon 10 December 2018","Wed 02 January 2019"
"5","PSY567","Population Behaviour Change","Jon May","Thu 29 November 2018","Tue 04 December 2018","Mon 10 December 2018","Wed 02 January 2019"
"6","PSY555","Grant","Tim Hollins","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"7","PSY555","Poster","Tim Hollins","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"8","PSY555","Presentation","Tim Hollins","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"9","PSY555","Writing task","Tim Hollins","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"10","PSY556","Statistics assignment part 1","William Simpson","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"11","PSY556","Statistics assignment part 2","William Simpson","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"12","PSY560","Coursework assignment","Tim Auburn","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"13","PSY563","Class participation","Yaniv Hanoch","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"14","PSY563","Class presentation (Last meeting)","Yaniv Hanoch","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"15","PSY563","Final assignment","Yaniv Hanoch","Thu 17 January 2019","Tue 22 January 2019","Mon 28 January 2019","Thu 14 February 2019"
"16","PSY568","Coursework","TBC","Thu 24 January 2019","Tue 29 January 2019","Mon 04 February 2019","Thu 21 February 2019"
"17","PSY569","Coursework","Christopher Harris","Thu 24 January 2019","Tue 29 January 2019","Mon 04 February 2019","Thu 21 February 2019"
"18","PSY571","Protocol","Ben Whalley","Thu 21 February 2019","Tue 26 February 2019","Mon 04 March 2019","Thu 21 March 2019"
"19","PSY564","Coursework","TBC","Thu 21 March 2019","Tue 26 March 2019","Mon 01 April 2019","Thu 18 April 2019"
"20","PSY570","Coursework","Haline Schenden","Thu 21 March 2019","Tue 26 March 2019","Mon 01 April 2019","Thu 18 April 2019"
"21","PSY577","Coursework","TBC","Thu 21 March 2019","Tue 26 March 2019","Mon 01 April 2019","Thu 18 April 2019"
"22","PSY557","Statistics assignment part 1","Ben Whalley","Thu 02 May 2019","Tue 07 May 2019","Mon 13 May 2019","Thu 30 May 2019"
"23","PSY557","Statistics assignment part 2","Ben Whalley","Thu 02 May 2019","Tue 07 May 2019","Mon 13 May 2019","Thu 30 May 2019"
"24","PSY558","Assignment part 1","Ben Whalley","Thu 02 May 2019","Tue 07 May 2019","Mon 13 May 2019","Thu 30 May 2019"
"25","PSY558","Assignment part 2","Ben Whalley","Thu 02 May 2019","Tue 07 May 2019","Mon 13 May 2019","Thu 30 May 2019"
"26","PSY566","Coursework","Jackie Andrade","Thu 02 May 2019","Tue 07 May 2019","Mon 13 May 2019","Thu 30 May 2019"
"27","PSY575","Pathway specific assignment","Chris Harris","Thu 02 May 2019","Tue 07 May 2019","Mon 13 May 2019","Thu 30 May 2019"
"28","PSY562","Session 1 coursework (Michaela Gummerum and Giorgio Ganis)","Jeremy Goslin","Thu 09 May 2019","Tue 14 May 2019","Mon 20 May 2019","Thu 06 June 2019"
"29","PSY562","Session 2 coursework (Sylvia Terbeck and Sabine Pahl)","Jeremy Goslin","Thu 09 May 2019","Tue 14 May 2019","Mon 20 May 2019","Thu 06 June 2019"
"30","PSY576","Project","Chris Harris","Thu 16 May 2019","Tue 21 May 2019","Tue 28 May 2019","Thu 13 June 2019"
"31","PSY571","Poster","Ben Whalley","Fri 24 May 2019","Wed 29 May 2019","Mon 03 June 2019","Fri 21 June 2019"
"32","PSY572","Ethics","Alison Bacon","Thu 22 August 2019","Tue 27 August 2019","Mon 02 September 2019","Thu 19 September 2019"
"33","PSY572","Project","Alison Bacon","Wed 28 August 2019","Mon 02 September 2019","Mon 09 September 2019","Wed 25 September 2019"
